Entity	Relation	Value
concept:everypromotedthing	humanformat	{"%%s is %s", "something"}
concept:everypromotedthing	instancetype	all
concept:everypromotedthing	memberofsets	concept:rtwcategory
concept:everypromotedthing	populate	false
concept:everypromotedthing	visible	false
concept:geolocatablething	generalizations	concept:everypromotedthing
concept:geolocatablething	humanformat	{"%%s is a %s", "geolocatable thing"}
concept:geolocatablething	instancetype	all
concept:geolocatablething	mutexpredicates	concept:academicfield
concept:geolocatablething	mutexpredicates	concept:awardtrophytournament
concept:geolocatablething	mutexpredicates	concept:buildingmaterial
concept:geolocatablething	mutexpredicates	concept:celltype
concept:geolocatablething	mutexpredicates	concept:charactertrait
concept:geolocatablething	mutexpredicates	concept:chemical
concept:geolocatablething	mutexpredicates	concept:cognitiveactions
concept:geolocatablething	mutexpredicates	concept:currency
concept:geolocatablething	mutexpredicates	concept:date
concept:geolocatablething	mutexpredicates	concept:economicsector
concept:geolocatablething	mutexpredicates	concept:emotion
concept:geolocatablething	mutexpredicates	concept:ethnicgroup
concept:geolocatablething	mutexpredicates	concept:event
concept:geolocatablething	mutexpredicates	concept:geometricshape
concept:geolocatablething	mutexpredicates	concept:hobby
concept:geolocatablething	mutexpredicates	concept:medicalprocedure
concept:geolocatablething	mutexpredicates	concept:mlalgorithm
concept:geolocatablething	mutexpredicates	concept:mlarea
concept:geolocatablething	mutexpredicates	concept:mldataset
concept:geolocatablething	mutexpredicates	concept:mlmetric
concept:geolocatablething	mutexpredicates	concept:musicgenre
concept:geolocatablething	mutexpredicates	concept:perceptionaction
concept:geolocatablething	mutexpredicates	concept:perceptionevent
concept:geolocatablething	mutexpredicates	concept:physicalaction
concept:geolocatablething	mutexpredicates	concept:physicalcharacteristic
concept:geolocatablething	mutexpredicates	concept:physicsterm
concept:geolocatablething	mutexpredicates	concept:profession
concept:geolocatablething	mutexpredicates	concept:protein
concept:geolocatablething	mutexpredicates	concept:religion
concept:geolocatablething	mutexpredicates	concept:sociopolitical
concept:geolocatablething	mutexpredicates	concept:sport
concept:geolocatablething	mutexpredicates	concept:visualartmovement
concept:geolocatablething	mutexpredicates	concept:politicaloffice
concept:geolocatablething	mutexpredicates	concept:color
concept:geolocatablething	mutexpredicates	concept:language
concept:geolocatablething	mutexpredicates	concept:species
concept:geolocatablething	mutexpredicates	concept:programminglanguage
concept:geolocatablething	mutexpredicates	concept:gamescore
concept:geolocatablething	mutexpredicates	concept:nonneginteger
concept:geolocatablething	mutexpredicates	concept:politicsissue
concept:geolocatablething	mutexpredicates	concept:llcoordinate
concept:geolocatablething	mutexpredicates	concept:recipe
concept:geolocatablething	mutexpredicates	concept:game
concept:geolocatablething	mutexpredicates	concept:researchproject
concept:geolocatablething	mutexpredicates	concept:creativework
concept:geolocatablething	mutexpredicates	concept:politicsbill
concept:geolocatablething	mutexpredicates	concept:physiologicalcondition
concept:geolocatablething	mutexpredicates	concept:sportsteamposition
concept:geolocatablething	mutexpredicates	concept:animal
concept:geolocatablething	mutexpredicates	concept:person
concept:geolocatablething	mutexpredicates	concept:item
concept:geolocatablething	mutexpredicates	concept:visualizableattribute
concept:geolocatablething	mutexpredicates	concept:visualizableobject
concept:geolocatablething	mutexpredicates	concept:scientificterm
concept:geolocatablething	mutexpredicates	concept:time
concept:geolocatablething	mutexpredicates	concept:victim
concept:geolocatablething	populate	false
concept:geolocatablething	visible	true
concept:oilgasfield	generalizations	concept:geolocatablething
concept:oilgasfield	generalizations	concept:visualizablescene
concept:oilgasfield	humanformat	{"%%s is an %s", "oil or gas field"}
concept:oilgasfield	instancetype	proper
concept:oilgasfield	mutexpredicates	concept:city