Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:personasia:michael_berne	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Michael%20Berne	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Michael Berne" 	"http://en.wikipedia.org/wiki/Michael%20Berne" 	Michael Berne	http://en.wikipedia.org/wiki/Michael%20Berne			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personeurope:john_bradstreet	concept:haswikipediaurl	http://en.wikipedia.org/wiki/John%20Bradstreet	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"John Bradstreet" 	"http://en.wikipedia.org/wiki/John%20Bradstreet" 	John Bradstreet	http://en.wikipedia.org/wiki/John%20Bradstreet			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:female:ramendra_kumar	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ramendra%20Kumar	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ramendra Kumar" 	"http://en.wikipedia.org/wiki/Ramendra%20Kumar" 	Ramendra Kumar	http://en.wikipedia.org/wiki/Ramendra%20Kumar			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:lake:bogstadvannet	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Bogstadvannet	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Bogstadvannet" "bogstadvannet" 	"http://en.wikipedia.org/wiki/Bogstadvannet" 	Bogstadvannet	http://en.wikipedia.org/wiki/Bogstadvannet			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:male:cheyenne_woods	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cheyenne%20Woods	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Cheyenne Woods" 	"http://en.wikipedia.org/wiki/Cheyenne%20Woods" 	Cheyenne Woods	http://en.wikipedia.org/wiki/Cheyenne%20Woods			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicianus:thomas_finneran	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Thomas%20Finneran	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Thomas Finneran" 	"http://en.wikipedia.org/wiki/Thomas%20Finneran" 	Thomas Finneran	http://en.wikipedia.org/wiki/Thomas%20Finneran			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mammal:eucosmodon	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Eucosmodon	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Eucosmodon" "eucosmodon" 	"http://en.wikipedia.org/wiki/Eucosmodon" 	Eucosmodon	http://en.wikipedia.org/wiki/Eucosmodon			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicsblog:quami_ekta	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Quami%20Ekta	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Quami Ekta" 	"http://en.wikipedia.org/wiki/Quami%20Ekta" 	Quami Ekta	http://en.wikipedia.org/wiki/Quami%20Ekta			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:molly_moore	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Molly%20Moore	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Molly Moore" 	"http://en.wikipedia.org/wiki/Molly%20Moore" 	Molly Moore	http://en.wikipedia.org/wiki/Molly%20Moore			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:molly_moore	concept:worksfor	concept:city:washington_d_c	995	0.9375	MBL-Iter%3A995-2016%2F05%2F20-21%3A37%3A48-From+ErrorBasedIntegrator+%28CPL%28molly_moore%2Cwashington%29%29	"Molly Moore" 	"washington d.c" "Washington D C" "washington d.c" "WASHINGTON" "washington-d-c" "D.C." "WASHINGTON D.C" "Washington" "Washington D. C." "Northwest Washington" "northwest Washington" "washington d c" "washington D C" "d.c." "Washington D.C" "Washington D.C." "northwest-washington" "washington" "DC" "dc" "Dc" "dC" 	Molly Moore	washington d.c		 concept:city	%5BCPL-Iter%3A853-2014%2F07%2F09-19%3A46%3A55-%3Ctoken%3Dmolly_moore%2Cwashington%3E-arg2+Post+writer+arg1%091%09arg2+Post+reporters+arg1%091%09arg2+Post+correspondent+arg1%092%09arg2+Post+columnist+arg1%091%5D
concept:celebrity:rosalind_ivan	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Rosalind%20Ivan	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Rosalind Ivan" 	"http://en.wikipedia.org/wiki/Rosalind%20Ivan" 	Rosalind Ivan	http://en.wikipedia.org/wiki/Rosalind%20Ivan			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:architect:wolfgang_petrick	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Wolfgang%20Petrick	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Wolfgang Petrick" 	"http://en.wikipedia.org/wiki/Wolfgang%20Petrick" 	Wolfgang Petrick	http://en.wikipedia.org/wiki/Wolfgang%20Petrick			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicianus:joan_fitz_gerald	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Joan%20Fitz%2DGerald	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Joan Fitz-Gerald" 	"http://en.wikipedia.org/wiki/Joan%20Fitz%2DGerald" 	Joan Fitz-Gerald	http://en.wikipedia.org/wiki/Joan%20Fitz%2DGerald			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:visualartist:casa_del_fascio	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Casa%20del%20Fascio%20(Como)	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Casa del Fascio" 	"http://en.wikipedia.org/wiki/Casa%20del%20Fascio%20(Como)" 	Casa del Fascio	http://en.wikipedia.org/wiki/Casa%20del%20Fascio%20(Como)			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:automobileengine:napier_sabre	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Napier%20Sabre	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Napier Sabre" 	"http://en.wikipedia.org/wiki/Napier%20Sabre" 	Napier Sabre	http://en.wikipedia.org/wiki/Napier%20Sabre			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicsblog:perspective	concept:proxyfor	concept:book:new	854	0.984375	MBL-Iter%3A854-2014%2F07%2F16-21%3A01%3A04-From+ErrorBasedIntegrator+%28CPL%28perspective%2Cnew%29%29	"Perspective" "PERSPECTIVE" "perspective" 	"New" "new" "NEW" 	Perspective	New			%5BCPL-Iter%3A670-2012%2F12%2F16-05%3A16%3A31-%3Ctoken%3Dperspective%2Cnew%3E-arg2+Year+with+a+new+arg1%094%09arg2+York+legal+arg1%091%09arg2+Zealand+market+arg1%091%09arg2+York+from+his+arg1%091%09arg2+Jersey+into+arg1%091%09arg2+York+from+their+arg1%091%5D
concept:personafrica:dead_space__downfall	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Dead%20Space%3A%20Downfall	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Dead Space: Downfall" 	"http://en.wikipedia.org/wiki/Dead%20Space%3A%20Downfall" 	Dead Space: Downfall	http://en.wikipedia.org/wiki/Dead%20Space%3A%20Downfall			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:bythinella_austriaca	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Bythinella%20austriaca	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Bythinella austriaca" 	"http://en.wikipedia.org/wiki/Bythinella%20austriaca" 	Bythinella austriaca	http://en.wikipedia.org/wiki/Bythinella%20austriaca			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:musician:jon_deak	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Jon%20Deak	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Jon Deak" 	"http://en.wikipedia.org/wiki/Jon%20Deak" 	Jon Deak	http://en.wikipedia.org/wiki/Jon%20Deak			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:crustacean:diaptomus	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Diaptomus	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Diaptomus" 	"http://en.wikipedia.org/wiki/Diaptomus" 	Diaptomus	http://en.wikipedia.org/wiki/Diaptomus			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:hobby:sports_car_club_of_america	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Sports%20Car%20Club%20of%20America	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Sports Car Club of America" 	"http://en.wikipedia.org/wiki/Sports%20Car%20Club%20of%20America" 	Sports Car Club of America	http://en.wikipedia.org/wiki/Sports%20Car%20Club%20of%20America			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:astronaut:navy_mark_v	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Navy%20Mark%20IV	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"navy mark v" "Navy Mark V" 	"http://en.wikipedia.org/wiki/Navy%20Mark%20IV" 	navy mark v	http://en.wikipedia.org/wiki/Navy%20Mark%20IV			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:kent_state_incident	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Kent%20State%20shootings	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Kent State Incident" 	"http://en.wikipedia.org/wiki/Kent%20State%20shootings" 	Kent State Incident	http://en.wikipedia.org/wiki/Kent%20State%20shootings			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:musicalbum:betty_boop_s_rise_to_fame	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Betty%20Boop's%20Rise%20to%20Fame	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Betty Boop's Rise to Fame" 	"http://en.wikipedia.org/wiki/Betty%20Boop's%20Rise%20to%20Fame" 	Betty Boop's Rise to Fame	http://en.wikipedia.org/wiki/Betty%20Boop's%20Rise%20to%20Fame			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:crustacean:nit	concept:agentcompeteswithagent	concept:university:unc_asheville	913	1.0	MBL-Iter%3A913-2015%2F03%2F30-09%3A29%3A18-From+ErrorBasedIntegrator+%28SEAL%28nit%2Cunc_asheville%29%2C+OE%28nit%2Cunc_asheville%29%29	"NIT" "nit" "Nit" 	"unc asheville" "UNC-Asheville" "UNC Asheville" 	NIT	unc asheville		 concept:university	%5BSEAL-Iter%3A689-2013%2F01%2F24-20%3A25%3A09-%3Ctoken%3Dnit%2Cunc_asheville%3E-From%3ARelation%3A%22agentcompeteswithagent%22-using-KB+http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_NCAA_Men%27s_Division_I_Conference_Tournament_Champions%2C+OE-Iter%3A803-2014%2F01%2F13-16%3A22%3A13-%3Ctoken%3Dnit%2Cunc_asheville%3E-East+Carolina+concludes+play+in+the+2013+NIT+Season+Tip-Off+against+instate+foe+UNC+Asheville+Tuesday+afternoon+at+Thomas+M.+Ryan+Center+on+the+campus+of+the+University+of+Rhode+Island.+%09%09CAMERON+INDOOR+STADIUM%2FDURHAM%26mdash%3BGoing+into+the+opening+round+of+the+NIT+Season+Tip-Off%2C+the+No.+6+Duke+Blue+Devils+and+the+UNC+Asheville+Bulldogs+came+packed+with+a+entirely+different+set+of+concerns.+While+Duke+was+focused+on+grabbing+more+rebounds+and+encouraging+its+freshman+phenom%2C+Jabari+Parker%2C+to+willfully+roll+out+his+fourth+consecutive+20%2B+point+performance%2C+the+first+page+of+the+Asheville+game+notes+included+a+pretty+frivolous+concern%3A+%09%09Durham%2C+NC+%28SportsNetwork.com%29-+The+Duke+Blue+Devils+will+begin+regional+action+in+the+NIT+Season+Tip-Off%2C+as+they+play+host+to+the+UNC+Asheville+Bulldogs+in+the+opening-round+on+Monday+evening+at+Cameron+Indoor+Stadium.%5D
concept:televisionshow:baby_bob	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Baby%20Bob	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Baby Bob" 	"http://en.wikipedia.org/wiki/Baby%20Bob" 	Baby Bob	http://en.wikipedia.org/wiki/Baby%20Bob			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:cliff_dorfman	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cliff%20Dorfman	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Cliff Dorfman" "cliff_dorfman" 	"http://en.wikipedia.org/wiki/Cliff%20Dorfman" 	Cliff Dorfman	http://en.wikipedia.org/wiki/Cliff%20Dorfman			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:hirasea_planulata	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Hirasea%20planulata	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Hirasea planulata" 	"http://en.wikipedia.org/wiki/Hirasea%20planulata" 	Hirasea planulata	http://en.wikipedia.org/wiki/Hirasea%20planulata			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:astronaut:ooststellingwerf	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ooststellingwerf	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ooststellingwerf" 	"http://en.wikipedia.org/wiki/Ooststellingwerf" 	Ooststellingwerf	http://en.wikipedia.org/wiki/Ooststellingwerf			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:physicalaction:organs	concept:subpartof	concept:website:blood	983	0.9999999850988388	MBL-Iter%3A983-2016%2F03%2F11-12%3A47%3A25-From+ErrorBasedIntegrator+%28CPL%28organs%2Cblood%29%29	"organs" "Organs" 	"blood" "Blood" "BLOOD" 	organs	blood			%5BCPL-Iter%3A977-2016%2F02%2F10-02%3A06%3A29-%3Ctoken%3Dorgans%2Cblood%3E-arg2+clots+in+major+arg1%092%09arg2+flow+to+the+vital+arg1%0942%09arg2+vessels+throughout+arg1%091%09arg2+flow+to+vital+arg1%09208%09arg2+from+your+heart+to+your+arg1%091%09arg2+flow+to+major+arg1%0924%09arg2+filtration+arg1%091%09arg2+flow+to+the+affected+arg1%091%09arg2+vessels+in+other+arg1%098%09arg2+flow+to+the+pelvic+arg1%0916%09arg2+flow+to+critical+arg1%0929%09arg2+flow+to+the+sexual+arg1%0972%09arg2+rush+to+your+arg1%091%09arg2+from+the+heart+to+other+arg1%096%09arg2+away+from+the+heart+to+arg1%093%09arg1+with+oxygenated+arg2%096%09arg2+flow+to+the+genital+arg1%0921%09arg2+vessels+supplying+blood+to+arg1%091%09arg2+flow+to+the+reproductive+arg1%0986%09arg2+vessels+in+your+arg1%093%09arg2+circulation+throughout+arg1%091%09arg2+supply+to+vital+arg1%0969%09arg2+vessels+in+our+arg1%091%09arg2+vessels+and+internal+arg1%09103%09arg2+flow+to+the+heart+and+arg1%091%5D
concept:mountain:richard_bass	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Richard%20Bass	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Richard Bass" 	"http://en.wikipedia.org/wiki/Richard%20Bass" 	Richard Bass	http://en.wikipedia.org/wiki/Richard%20Bass			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:militaryconflict:confederate_states_navy	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Confederate%20States%20Navy	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"confederate-states-navy" "Confederate States Navy" 	"http://en.wikipedia.org/wiki/Confederate%20States%20Navy" 	confederate-states-navy	http://en.wikipedia.org/wiki/Confederate%20States%20Navy			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicianus:william_hohri	concept:haswikipediaurl	http://en.wikipedia.org/wiki/William%20Hohri	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"William Hohri" 	"http://en.wikipedia.org/wiki/William%20Hohri" 	William Hohri	http://en.wikipedia.org/wiki/William%20Hohri			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:alan_warwick_palmer	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Alan%20Palmer	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Alan Warwick Palmer" 	"http://en.wikipedia.org/wiki/Alan%20Palmer" 	Alan Warwick Palmer	http://en.wikipedia.org/wiki/Alan%20Palmer			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:sportsteam:ohio_state_buckeyes_men_s_basketball	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ohio%20State%20Buckeyes%20men's%20basketball	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ohio State Buckeyes men's basketball" 	"http://en.wikipedia.org/wiki/Ohio%20State%20Buckeyes%20men's%20basketball" 	Ohio State Buckeyes men's basketball	http://en.wikipedia.org/wiki/Ohio%20State%20Buckeyes%20men's%20basketball			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:city:wachapreague	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Wachapreague,%20Virginia	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"wachapreague" "Wachapreague" 	"http://en.wikipedia.org/wiki/Wachapreague,%20Virginia" 	wachapreague	http://en.wikipedia.org/wiki/Wachapreague,%20Virginia			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
