Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:musicartist:twin_atlantic	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Twin%20Atlantic	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Twin Atlantic" 	"http://en.wikipedia.org/wiki/Twin%20Atlantic" 	Twin Atlantic	http://en.wikipedia.org/wiki/Twin%20Atlantic			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:militaryconflict:geraint_son_of_erbin	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Geraint%20son%20of%20Erbin	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Geraint son of Erbin" 	"http://en.wikipedia.org/wiki/Geraint%20son%20of%20Erbin" 	Geraint son of Erbin	http://en.wikipedia.org/wiki/Geraint%20son%20of%20Erbin			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:aquarium:cretaquarium	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cretaquarium	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"cretaquarium" "Cretaquarium" 	"http://en.wikipedia.org/wiki/Cretaquarium" 	cretaquarium	http://en.wikipedia.org/wiki/Cretaquarium			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:software:simon_the_sorcerer_3d	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Simon%20the%20Sorcerer%203D	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Simon the Sorcerer 3D" 	"http://en.wikipedia.org/wiki/Simon%20the%20Sorcerer%203D" 	Simon the Sorcerer 3D	http://en.wikipedia.org/wiki/Simon%20the%20Sorcerer%203D			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:athlete:darryl_grant	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Darryl%20Grant	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Darryl Grant" 	"http://en.wikipedia.org/wiki/Darryl%20Grant" 	Darryl Grant	http://en.wikipedia.org/wiki/Darryl%20Grant			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:cheese:giovanni_colombo	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Giovanni%20Colombo	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Giovanni Colombo" 	"http://en.wikipedia.org/wiki/Giovanni%20Colombo" 	Giovanni Colombo	http://en.wikipedia.org/wiki/Giovanni%20Colombo			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:island:jabal	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Jabal%20(Bible)	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Jabal" 	"http://en.wikipedia.org/wiki/Jabal%20(Bible)" 	Jabal	http://en.wikipedia.org/wiki/Jabal%20(Bible)			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personafrica:keren_neumann	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Keren%20Neumann	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Keren Neumann" 	"http://en.wikipedia.org/wiki/Keren%20Neumann" 	Keren Neumann	http://en.wikipedia.org/wiki/Keren%20Neumann			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:female:rachel_burr	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Rachel%20Burr	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Rachel Burr" 	"http://en.wikipedia.org/wiki/Rachel%20Burr" 	Rachel Burr	http://en.wikipedia.org/wiki/Rachel%20Burr			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:airport:labor_unrest	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Labor%20unrest	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Labor unrest" 	"http://en.wikipedia.org/wiki/Labor%20unrest" 	Labor unrest	http://en.wikipedia.org/wiki/Labor%20unrest			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:wine:ilva	concept:haswikipediaurl	http://en.wikipedia.org/wiki/ILVA	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ilva" "ILVA" 	"http://en.wikipedia.org/wiki/ILVA" 	Ilva	http://en.wikipedia.org/wiki/ILVA			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:professionalorganization:christopher_reeve_paralysis_foundation	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Christopher%20and%20Dana%20Reeve%20Foundation	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Christopher Reeve Paralysis Foundation" 	"http://en.wikipedia.org/wiki/Christopher%20and%20Dana%20Reeve%20Foundation" 	Christopher Reeve Paralysis Foundation	http://en.wikipedia.org/wiki/Christopher%20and%20Dana%20Reeve%20Foundation			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mlauthor:jun_liu	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Jun%20Liu	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Jun Liu" "jun_liu" 	"http://en.wikipedia.org/wiki/Jun%20Liu" 	Jun Liu	http://en.wikipedia.org/wiki/Jun%20Liu			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:city:attractions	concept:mutualproxyfor	concept:beverage:new	863	0.96875	MBL-Iter%3A863-2014%2F08%2F19-15%3A27%3A57-From+ErrorBasedIntegrator+%28CPL%28attractions%2Cnew%29%29	"attractions" "Attractions" 	"New" "new" "NEW" 	attractions	New			%5BCPL-Iter%3A289-2011%2F06%2F06-10%3A10%3A49-%3Ctoken%3Dattractions%2Cnew%3E-arg2+Zealand+tourist+arg1%0979%09arg2+England+states+and+arg1%092%09arg2+Jersey+and+New+York+City+arg1%092%09arg2+York+and+other+arg1%091%09arg2+Jersey+and+arg1%091%5D
concept:city:attractions	concept:proxyfor	concept:politicaloffice:new	811	0.999755859375	MBL-Iter%3A811-2014%2F02%2F10-05%3A09%3A08-From+ErrorBasedIntegrator+%28CPL%28attractions%2Cnew%29%29	"attractions" "Attractions" 	"New" "new" "NEW" 	attractions	New			%5BCPL-Iter%3A605-2012%2F06%2F30-15%3A11%3A52-%3Ctoken%3Dattractions%2Cnew%3E-arg2+Zealand+tourist+arg1%0979%09arg2+Mexico+area+arg1%093%09arg2+Hampshire+vacation+arg1%091%09arg2+Jersey+and+New+York+arg1%091%09arg2+York+theatre+arg1%091%09arg2+England+states+and+arg1%092%09arg2+Jersey+and+New+York+City+arg1%092%09arg2+York+and+other+arg1%091%09arg2+Jersey+shore+arg1%091%09arg2+Jersey+coastal+arg1%091%09arg2+Zealand+golf+arg1%094%09arg2+Jersey+and+arg1%091%5D
concept:architect:barbara_rose	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Barbara%20Rose	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Barbara Rose" 	"http://en.wikipedia.org/wiki/Barbara%20Rose" 	Barbara Rose	http://en.wikipedia.org/wiki/Barbara%20Rose			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:terroristorganization:movimiento_independentista_nacional_hostosiano	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Hostosian%20National%20Independence%20Movement	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Movimiento Independentista Nacional Hostosiano" 	"http://en.wikipedia.org/wiki/Hostosian%20National%20Independence%20Movement" 	Movimiento Independentista Nacional Hostosiano	http://en.wikipedia.org/wiki/Hostosian%20National%20Independence%20Movement			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:hotel:cardamom_county	concept:latitudelongitude	27.0858000000000,80.3140000000000	995	1.0	MBL-Iter%3A995-2016%2F05%2F20-21%3A37%3A48-From+ErrorBasedIntegrator+%28LatLong%28cardamom_county%2C27.0858000000000%2C80.3140000000000%29%29	"Cardamom County" 	"27.0858000000000,80.3140000000000" 	Cardamom County	27.0858000000000,80.3140000000000			%5BLatLong-Iter%3A170-2010%2F11%2F18-21%3A27%3A54-%3Ctoken%3Dcardamom_county%2C27.0858000000000%2C80.3140000000000%3E-muthoot+cardamom+county%4027.086%2C80.314%5D
concept:hotel:nh_grand_hotel_krasnapolsky	concept:latitudelongitude	52.3724000000000,4.8941500000000	995	0.9999999877333238	MBL-Iter%3A995-2016%2F05%2F20-21%3A37%3A48-From+ErrorBasedIntegrator+%28LatLongTT%28nh_grand_hotel_krasnapolsky%2C52.3724000000000%2C4.8941500000000%29%29	"NH Grand Hotel Krasnapolsky" 	"52.3724000000000,4.8941500000000" 	NH Grand Hotel Krasnapolsky	52.3724000000000,4.8941500000000			%5BLatLongTT-Iter%3A629-2012%2F08%2F31-06%3A51%3A34-%3Ctoken%3Dnh_grand_hotel_krasnapolsky%2C52.3724000000000%2C4.8941500000000%3E-geonames%3A++nh+grand+hotel+krasnapolsky%4052.373%2C4.894+nh+grand+hotel+krasnapolsky%4052.372%2C4.894%5D
concept:skyscraper:olev_siinmaa	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Olev%20Siinmaa	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Olev Siinmaa" 	"http://en.wikipedia.org/wiki/Olev%20Siinmaa" 	Olev Siinmaa	http://en.wikipedia.org/wiki/Olev%20Siinmaa			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mountainrange:stikine_river_provincial_park	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Stikine%20River%20Provincial%20Park	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Stikine River Provincial Park" 	"http://en.wikipedia.org/wiki/Stikine%20River%20Provincial%20Park" 	Stikine River Provincial Park	http://en.wikipedia.org/wiki/Stikine%20River%20Provincial%20Park			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:sport:n10_point_must_system	concept:haswikipediaurl	http://en.wikipedia.org/wiki/10%2Dpoint%20must%20system	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"10-point must system" 	"http://en.wikipedia.org/wiki/10%2Dpoint%20must%20system" 	10-point must system	http://en.wikipedia.org/wiki/10%2Dpoint%20must%20system			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:actor:gildo_bocci	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Gildo%20Bocci	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Gildo Bocci" 	"http://en.wikipedia.org/wiki/Gildo%20Bocci" 	Gildo Bocci	http://en.wikipedia.org/wiki/Gildo%20Bocci			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:lau_lau	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Laulau	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Lau lau" 	"http://en.wikipedia.org/wiki/Laulau" 	Lau lau	http://en.wikipedia.org/wiki/Laulau			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:physiologicalcondition:slipped_epiphysis	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Slipped%20capital%20femoral%20epiphysis	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Slipped epiphysis" "Slipped Epiphysis" 	"http://en.wikipedia.org/wiki/Slipped%20capital%20femoral%20epiphysis" 	Slipped epiphysis	http://en.wikipedia.org/wiki/Slipped%20capital%20femoral%20epiphysis			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:building:dedicated	concept:atdate	concept:date:n2000	941	0.9375	MBL-Iter%3A941-2015%2F07%2F25-06%3A28%3A16-From+ErrorBasedIntegrator+%28CPL%28dedicated%2Cn2000%29%29	"dedicated" "DEDICATED" "Dedicated" 	"2000" 	dedicated	2000			%5BCPL-Iter%3A688-2013%2F01%2F23-00%3A04%3A31-%3Ctoken%3Ddedicated%2Cn2000%3E-arg1+in+June+arg2%092%09arg1+in+January+arg2%091%09arg1+in+April+arg2%092%09arg1+in+April+of+arg2%091%5D
concept:book:trojan_odyssey	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Trojan%20Odyssey	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Trojan Odyssey" "trojan odyssey" 	"http://en.wikipedia.org/wiki/Trojan%20Odyssey" 	Trojan Odyssey	http://en.wikipedia.org/wiki/Trojan%20Odyssey			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:militaryconflict:france_and_weapons_of_mass_destruction	concept:haswikipediaurl	http://en.wikipedia.org/wiki/France%20and%20weapons%20of%20mass%20destruction	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"France and weapons of mass destruction" 	"http://en.wikipedia.org/wiki/France%20and%20weapons%20of%20mass%20destruction" 	France and weapons of mass destruction	http://en.wikipedia.org/wiki/France%20and%20weapons%20of%20mass%20destruction			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personnorthamerica:hall_s__lusk	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Hall%20S%2E%20Lusk	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Hall S. Lusk" 	"http://en.wikipedia.org/wiki/Hall%20S%2E%20Lusk" 	Hall S. Lusk	http://en.wikipedia.org/wiki/Hall%20S%2E%20Lusk			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:animal:grazing_antelope	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Grazing%20antelope	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Grazing antelope" 	"http://en.wikipedia.org/wiki/Grazing%20antelope" 	Grazing antelope	http://en.wikipedia.org/wiki/Grazing%20antelope			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:monarch:yury_biryukov	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Yury%20Biryukov	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Yury Biryukov" 	"http://en.wikipedia.org/wiki/Yury%20Biryukov" 	Yury Biryukov	http://en.wikipedia.org/wiki/Yury%20Biryukov			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personcanada:susan_spencer	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Susan%20Spencer	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"susan spencer" "Susan Spencer" 	"http://en.wikipedia.org/wiki/Susan%20Spencer" 	susan spencer	http://en.wikipedia.org/wiki/Susan%20Spencer			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:buildingfeature:arcades	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Arcades%20(Milton)	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"arcades" "Arcades" 	"http://en.wikipedia.org/wiki/Arcades%20(Milton)" 	arcades	http://en.wikipedia.org/wiki/Arcades%20(Milton)			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:lewis_steenrod	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Lewis%20Steenrod	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Lewis Steenrod" 	"http://en.wikipedia.org/wiki/Lewis%20Steenrod" 	Lewis Steenrod	http://en.wikipedia.org/wiki/Lewis%20Steenrod			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:coach:marquez_pope	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Marquez%20Pope	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"marquez pope" "Marquez Pope" 	"http://en.wikipedia.org/wiki/Marquez%20Pope" 	marquez pope	http://en.wikipedia.org/wiki/Marquez%20Pope			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personeurope:haku	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Tonga%20Fifita	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Haku" "haku" 	"http://en.wikipedia.org/wiki/Tonga%20Fifita" 	Haku	http://en.wikipedia.org/wiki/Tonga%20Fifita			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:actor:arthur_byron	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Arthur%20Byron	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Arthur Byron" "arthur byron" 	"http://en.wikipedia.org/wiki/Arthur%20Byron" 	Arthur Byron	http://en.wikipedia.org/wiki/Arthur%20Byron			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:scientist:nicol_s_avellaneda	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Nicol%C3%A1s%20Avellaneda	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Nicolás Avellaneda" 	"http://en.wikipedia.org/wiki/Nicol%C3%A1s%20Avellaneda" 	Nicolás Avellaneda	http://en.wikipedia.org/wiki/Nicol%C3%A1s%20Avellaneda			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:city:pasvalys	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Pasvalys	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Pasvalys" 	"http://en.wikipedia.org/wiki/Pasvalys" 	Pasvalys	http://en.wikipedia.org/wiki/Pasvalys			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:awardtrophytournament:coupe_du_pr_sident_de_la_r_publique	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Coupe%20du%20Pr%C3%A9sident%20de%20la%20R%C3%A9publique	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"coupe du président de la république" "Coupe du Président de la République" 	"http://en.wikipedia.org/wiki/Coupe%20du%20Pr%C3%A9sident%20de%20la%20R%C3%A9publique" 	coupe du président de la république	http://en.wikipedia.org/wiki/Coupe%20du%20Pr%C3%A9sident%20de%20la%20R%C3%A9publique			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
